지출목적별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
감기약,89.453,91.741,93.681,95.341,100,102.83,104.04,107.46,110.66,111.48
진통제,92.711,93.658,95.8,98.644,100,107.31,110.39,110.69,114.08,123.83
소화제,85.106,90.33,92.988,96.037,100,100.73,101.12,101.73,111.11,119.19
정장제,94.781,98.664,99.55,99.6,100,100.61,101.66,102.57,105.33,120.74
위장약,89.526,91.907,94.065,96.699,100,101.61,103.4,105.78,108.73,113.08
진해거담제,91.62,91.914,92.558,93.889,100,101.38,108.34,117.82,126.33,131.52
소염진통제,87.284,92.483,95.421,98.304,100,101.12,103.78,107.15,109.3,110.85
피부질환제,92.464,96.638,98.11,99.478,100,100.57,101.31,102.43,109.35,112.51
치과구강용약,-,-,-,-,100,100.47,99.91,99.5,106.56,114.71
조제약,120.78,108.269,101.938,99.919,100,98.75,97.49,96.29,95.1,94.37
한방약,91.248,94.49,97.074,98.506,100,101.26,101.95,104.77,113.33,118.38
인삼,81.322,93.516,94.776,101.602,100,97.81,97.01,100.48,99.4,96.67
홍삼,88.753,92.266,95.623,100,100,100,100,100,100,100
비타민제,88.566,93.487,98.817,99.773,100,99.82,99.83,99.37,99.18,99.56
건강기능식품,90.387,90.387,94.581,96.678,100,100.4,98.85,94.87,93.97,93.14
병원약품,-,-,-,-,100,98.61,97.08,95,93.92,93.26
의료용품 및 치료기기,95.52,96.823,97.864,98.852,100,100.01,99.39,97.69,97.59,99.44
종이기저귀,93.653,94.231,94.761,96.452,100,99.25,97.79,93.4,95.15,101.84
생리대,85.583,91.57,97.048,99.795,100,98.97,98.57,97.95,97.63,98.56
안경,99.599,99.535,100.022,99.704,100,99.97,99.72,99.65,98.71,98.31
콘택트렌즈,102.196,101.277,100.162,100.089,100,99.37,98.44,97.11,94.7,94.76
의료측정기,106.246,104.775,102.045,100.93,100,101.22,100.37,99.38,98.7,102.83
보청기,-,-,-,-,100,100.63,101.35,101.36,101.36,101.36
건강기기렌탈비,-,-,-,-,100,100,100,100,100,101.05
치료재료,-,-,-,-,100,102.03,101.18,98.83,99.22,99.77
06.2 외래환자 서비스,97.628,98.71,98.488,98.763,100,101.63,103.5,104.89,105.66,107.94
의료서비스,94.768,95.559,96.529,98.221,100,102.31,104.93,107.47,109.65,112.22
외래진료비,94.543,95.259,96.232,98.035,100,102.31,104.94,107.52,109.91,112.55
건강검진비,94.88,96.981,98.6,99.509,100,101.13,101.7,102.42,103.32,104.01
한방진료비,89.15,92.474,94.963,97.563,100,102.24,105.26,108.29,107.14,108.66
약국조제료,-,-,-,-,100,103.06,106.66,109.72,113.19,117.18
기타 의료서비스,103.082,104.588,102.144,99.77,100,100.53,101.14,100.63,99.04,100.85
치과진료비,103.082,104.588,102.144,99.77,100,101.94,103.94,104.69,103.6,106.62
치과보철료,103.082,104.588,102.144,99.77,100,99.44,98.98,97.44,95.41,96.23
06.3 병원 서비스,92.92,95.878,97.593,98.911,100,101.7,103.5,101.26,99.81,99.95
병원 서비스,92.92,95.878,97.593,98.911,100,101.7,103.5,101.26,99.81,99.95
입원진료비,92.92,95.878,97.593,98.911,100,101.52,103.1,101.98,101.91,103.59
병원검사료,94.543,95.259,96.232,98.035,100,102.76,105.88,97.46,88.29,79.78
07 교통,107.385,110.864,110.279,108.508,100,97.79,101.29,103.74,101.88,100.01
07.1 운송장비,100.037,99.977,101.164,100.976,100,100.3,101.17,99.98,98.74,99.9
운송장비,100.037,99.977,101.164,100.976,100,100.3,101.17,99.98,98.74,99.9
소형승용차,99.334,99.998,101.284,101.333,100,101.86,102.5,102.44,101.68,101.12
중형승용차,99.272,99.732,100.793,100.577,100,97.77,98.21,98.75,96.62,98.65
대형승용차,103.997,102.8,103.101,102.225,100,99.24,102.31,102.42,101.84,102.26
경승용차,93.122,94.901,97.023,96.955,100,97.78,102.16,102.29,103.47,103.51
다목적승용차,100.247,100.159,101.539,100.643,100,100.15,99.79,98.57,96.89,97.02
수입승용차,101.509,99.148,100.973,102.146,100,102.31,102.95,99.23,97.9,101.3
자전거,85.413,92.462,94.168,97.291,100,99.57,97.85,101.42,100.08,103
07.2 개인운송장비 운영,121.237,125.133,122.061,117.696,100,94.13,100.12,105.46,100.91,95.25
개인운송장비 연료 및 윤활유,129.205,133.89,129.244,123.429,100,92.14,99.24,105.93,99.5,92.15
휘발유,126.65,131.24,127.074,120.969,100,93.01,98.98,104.88,97.39,91.59
경유,133.256,138.68,132.562,125.806,100,91,98.79,107.01,102.84,91.62
자동차용LPG,133.175,136.6,132.828,130.52,100,90.94,102.52,108.39,99.91,98.01
개인운송장비 소모품 및 유지 · 수리,98.176,98.854,99.747,99.936,100,100.31,101.03,102.28,103.86,104.75
자동차용품,110.135,98.855,115.826,105.271,100,97.45,95.4,93.4,92.71,91.46
자동차타이어,103.512,104.02,103.047,102.193,100,97.92,97.96,92.73,90.76,89.97
자동차수리비,98.383,99.298,99.259,99.727,100,100.58,101.31,103.14,104.98,106.07
엔진오일교체료,92.401,95.058,96.457,98.529,100,100.41,102.1,107.34,110.87,113.4
세차료,79.911,85.123,89.914,94.742,100,105.17,110.24,117.25,124.65,129.39
개인운송장비 관련 기타 서비스,93.453,95.767,99.015,99.225,100,102.68,106.72,107.49,108.57,106.01
자동차학원비,86.92,91.231,95.246,96.22,100,104.9,135.87,151.82,161.17,165.45
주차료,94.75,95.12,98.277,99.559,100,102.28,104.04,104.31,105.77,104.19
도로통행료,97.071,100,100,100,100,104.11,104.04,102.7,102.49,101.26
승용차임차료,82.627,86.865,100.218,100.134,100,100.01,99.83,99.61,99.72,90.63
대리운전이용료,98.787,99.541,99.72,98.921,100,103.32,105.47,108.06,111.16,113.5
자동차검사료,100,100,100,100,100,103.77,109.05,109.05,109.05,109.05
07.3 운송 서비스,87.025,92.614,95.319,97.192,100,102.95,103.98,104.87,107.85,110.17
철도 여객수송,84.637,92.238,93.518,93.797,100,104.22,104.91,104.64,104.64,104.64
열차료,93.536,96.016,96.016,96.016,100,100,98.34,97.15,97.15,97.15
도시철도료,81.494,90.811,92.576,92.955,100,105.94,107.57,107.93,107.93,107.93
도로 여객수송,85.576,90.854,94.373,96.876,100,103.41,104.16,104.22,109.41,113.09
시내버스료,83.947,91.634,93.827,95.514,100,104.94,105.91,105.67,107.01,111.3
시외버스료,94.4,94.4,98.99,99.992,100,100,99.98,99.84,111,113.23
고속버스료,95.876,95.876,99.313,100,100,100,100,100,106.63,107.96
택시료,86.252,86.252,93.945,100,100,100,100.43,101.32,113.91,116.96
항공 및 수상여객운송,111.027,115.356,112.72,110.487,100,98.7,101.82,106.91,106.01,106.55
국내항공료,96.769,101.635,106.87,107.315,100,97.93,102.83,107.37,108.61,107.49
국제항공료,113.987,117.837,114.314,111.646,100,98.77,101.73,107.2,105.89,106.36
여객선료,95.148,102.094,98.235,97.829,100,99.35,101.04,101.76,102.65,107.47
기타 여객운송,83.14,86.84,91.383,96.332,100,102.05,103.19,105.22,107.35,109.24
이삿짐운송료,79.306,84.496,88.904,94.463,100,103.16,105.54,109.01,111.55,113.75
택배이용료,91.554,91.414,96.221,99.972,100,100.45,99.82,99.71,101.23,102.65
08 통신,103.036,100.384,100.254,100.192,100,100.09,100.38,99.52,97.24,95.22
08.1 우편서비스,85.893,90.449,94.429,100,100,100,106.81,109.07,117.47,121.67
우편서비스,85.893,90.449,94.429,100,100,100,106.81,109.07,117.47,121.67
우편료,85.893,90.449,94.429,100,100,100,106.81,109.07,117.47,121.67
08.2 전화 및 팩스장비,117.074,112.407,109.037,105.514,100,100.28,101.89,102.93,102.26,103.17
전화 및 팩스장비,117.074,112.407,109.037,105.514,100,100.28,101.89,102.93,102.26,103.17
휴대전화기,117.074,112.407,109.037,105.514,100,100.28,101.89,102.93,102.26,103.17
08.3 전화 및 팩스 서비스,102.524,99.885,99.885,99.964,100,100.05,100.09,98.8,96.14,93.46
전화 및 팩스 서비스,102.524,99.885,99.885,99.964,100,100.05,100.09,98.8,96.14,93.46
유선전화료,98.239,98.239,98.239,99.411,100,100.15,100.14,100.14,100.14,100.22
휴대전화료,103.616,100,100,100,100,100,100,98.43,95.19,91.92
인터넷이용료,100,100,100,100,100,100,100,100,100.07,100.08
휴대전화기수리비,-,-,-,-,100,104.91,109.95,111.62,114.03,117.77
09 오락 및 문화,98.796,99.048,100.063,100.492,100,101.84,101.9,102.39,102.14,101.11
09.1 음향 · 영상 · 사진 및 정보처리 장비,128.806,114.762,110.673,103.909,100,100.11,97.89,92.81,89.35,86.93
영상 · 음향기기,147.13,125.274,119.978,109.576,100,96.81,90.07,81.57,76.47,72.29
TV,159.301,131.142,125.103,112.781,100,91.21,83.3,74.43,69.08,63.42
영상음향기기,98.209,93.51,100.706,99.663,100,100.35,97.71,95.11,93.98,93.9
사진기,149.351,126.851,112.157,102.353,100,113.02,106.99,98.65,93.46,99.83
정보처리기기 · 소모품,114.048,106.094,102.998,99.234,100,102.96,104.67,102.57,100.55,99.65
컴퓨터,123.257,111.183,106.708,101.148,100,101.89,103.1,101.52,98.76,96.84
컴퓨터수리비,-,-,-,-,100,102.08,102.08,104.93,104.93,104.93
휴대용멀티미디어기기,120.996,112.252,108.374,106.386,100,104.35,110.15,115.11,116.54,113.47
프린터,114.591,100.148,95.995,97.407,100,108.47,108.56,110.51,118.3,117.13
컴퓨터소모품,86.141,90.13,91.517,91.566,100,107.18,107.46,104.83,107.99,112.38
저장장치,143.018,135.444,125.354,105.88,100,106.21,119.4,91.71,75,78.99
09.2 기타 오락 및 문화용 주요 내구재,97.403,102.113,102.555,100.802,100,99.61,101.94,103.51,103.26,101.18
기타 오락 및 문화용 주요 내구재,97.403,102.113,102.555,100.802,100,99.61,101.94,103.51,103.26,101.18
피아노,101.62,106.078,105.756,101.692,100,100.53,102.39,102.81,104.41,104.87
현악기,93.156,98.432,99.582,99.975,100,97.66,101.49,107.58,109.15,109.39
헬스기구,-,-,-,-,100,101.67,101.92,101.24,98.55,93.23
09.3 기타 오락용품 · 조경용품 및 애완동물,94.029,95.805,97.037,98.783,100,103.55,103.65,104.06,102.66,105.11
기타 오락용품 · 조경용품 및 애완동물,94.029,95.805,97.037,98.783,100,103.55,103.65,104.06,102.66,105.11
장난감,98.836,97.899,96.831,97.765,100,104.47,105.23,105.99,105.88,106.54
레저용품,86.275,90.478,95.667,98.045,100,103.56,104.09,100.89,100.88,105.74
운동용품,103.605,103.137,102.053,101.192,100,102.07,98.39,99.75,92.78,100.69
생화,85.718,92.008,93.033,99.605,100,109.88,110.58,124.6,125.92,128.02
원예용품,96.98,99.281,100.102,100.406,100,99.59,98.9,99.05,99.12,100.13
애완동물용품,89.427,92.715,95.19,98.797,100,102.37,103.02,100.78,100.13,102.4
애완동물관리비,94.108,96.561,98.24,99.415,100,102,103.04,104.61,102.63,102.15
09.4 오락 및 문화 서비스,95.072,96.368,97.367,99.027,100,101.75,102.76,104.57,106.21,107.11
오락 및 스포츠 서비스,95.641,96.534,97.829,99.253,100,101.4,102.68,104.37,106.28,107.23
수영장이용료,92.213,93.835,95.063,98.626,100,102.47,103.28,104.87,108.25,109.48
스키장이용료,93.231,94.523,95.996,97.122,100,103.47,107.58,107.07,112.38,113.54
볼링장이용료,86.491,89.331,92.887,97.075,100,102.45,105.81,108.99,111.16,111.26
헬스클럽이용료,95.038,97.632,99.159,100.062,100,100.7,101.49,101.62,103.41,104.43
골프연습장이용료,104.129,104.103,103.402,101.006,100,98.92,97.48,96.81,96.86,97.12
골프장이용료,94.937,95.536,96.555,99.104,100,101.96,103.81,105.76,108.15,110.82
당구장이용료,96.014,96.769,98.12,98.542,100,101.37,102.39,104.46,105,105.08
노래방이용료,92.128,93.39,95.992,98.64,100,101.03,102.53,103.66,104.91,105.74
PC방이용료,96.239,97.783,100.015,101.279,100,97.36,98.53,104.28,106.1,104.92
놀이시설이용료,91.482,91.861,94.844,98.992,100,102.69,104.65,109.15,112.62,112.83
레포츠이용료,107.341,109.433,105.196,99.241,100,102.78,105.38,105.74,106.49,107.02
운동경기관람료,90.169,90.803,93.487,96.289,100,103.61,106.03,108.59,109.92,112.7
문화 서비스,94.766,96.28,97.118,98.902,100,101.93,102.8,104.68,106.16,107.04
영화관람료,90.777,91.037,92.09,98.029,100,102.67,103.5,111.16,114.01,117.01
공연예술관람료,89.848,90.12,90.639,98.022,100,101.52,103.02,105.17,104.66,104.44
전시관입장료,90.483,92.237,94.465,97.545,100,101.64,106.31,111.26,113.04,113.98
독서실비,95.322,96.891,98.72,99.461,100,100.39,101.29,102.49,103.15,103.55
문화강습료,92.88,94.878,96.108,98.328,100,100.77,101.75,104.77,107.33,108.65
온라인콘텐츠이용료,98.207,98.207,100.167,100,100,103.75,104.56,104.56,105.87,105.89
방송수신료,99.574,100.37,99.947,99.995,100,99.88,99.34,99.36,99.44,99.48
사진서비스료,89.76,94.127,95.646,97.521,100,101.88,104.72,106.85,109.65,112.01
09.5 신문 · 서적 및 문방구,89.035,92.008,94.411,97.028,100,100.58,102.04,103.12,104.78,104.21
서적,87.348,90.481,93.564,96.368,100,100.66,102.59,103.13,104.18,103.16
유아용학습교재,90.837,93.802,95.707,95.917,100,100.52,103.12,103.12,103.15,104.87
초등학교학습서,85.411,88.137,89.29,91.945,100,101.56,105.47,110.2,113.24,114.96
중학교학습서,88.715,90.992,95.428,99.498,100,100,100,101.39,106.23,106.47
고등학교학습서,99.741,99.914,99.894,99.894,100,101.72,103.33,105.23,108.11,109.63
교과서,61.208,70.547,81.135,91.487,100,100,100,85.93,76.15,36.95
대학교재,96.628,96.628,96.628,96.628,100,102.36,102.36,102.69,104.33,105.67
서적,82.559,86.908,91.897,96.677,100,100,102.29,102.71,102.94,102.41
신문 및 정기 간행물,98.151,98.83,99.526,99.526,100,100,100,105.56,111.11,111.11
신문,100,100,100,100,100,100,100,105.56,111.11,111.11
문방구,91.073,94.814,95.376,98.445,100,100.51,101.01,102.11,104.38,105.32
공책,85.896,88.215,88.188,97.293,100,100.79,100.84,101.61,104.23,105.6
스케치북,96.103,97.335,98.244,99.678,100,99.76,98.51,97.42,98.75,100.27
복사용지,105.262,106.341,106.057,103.421,100,98.08,96.9,101.22,103.58,104.84
기타문구,79.541,89.155,91.402,97.25,100,101.34,103.45,107.03,108.97,110.46
필기구,91.984,95.152,95.635,97.598,100,101.14,102.35,102.8,103.69,101.32
회화용구,88.783,93.345,94.026,96.996,100,100.13,100.22,100.39,104.77,109.07
09.6 단체여행,100.051,103.418,106.403,106.213,100,102.5,100.92,101.64,99.97,95.02
단체여행,100.051,103.418,106.403,106.213,100,102.5,100.92,101.64,99.97,95.02
국내단체여행비,102.167,106.525,108.102,107.287,100,100.61,102.83,103.04,101.13,102.16
해외단체여행비,99.371,102.323,105.804,105.833,100,103.03,100.38,101.2,99.58,93.5
10 교육,94.424,95.762,96.888,98.312,100,101.64,102.8,104.21,104.76,102.52
10.1 유치원 및 초등교육,132.312,120.645,93.339,92.838,100,102.74,103.85,105.78,105.63,100.82
유치원 및 초등교육,132.312,120.645,93.339,92.838,100,102.74,103.85,105.78,105.63,100.82
유치원납입금,132.312,120.645,93.339,92.838,100,102.74,103.85,105.78,105.63,100.82
10.2 중등교육,103.092,99.715,99.757,99.813,100,100.1,100.39,100.47,86.9,33.96
중등교육,103.092,99.715,99.757,99.813,100,100.1,100.39,100.47,86.9,33.96
고등학교납입금,103.092,99.715,99.757,99.813,100,100.1,100.39,100.47,86.9,33.96
10.3 고등교육,104.461,101.48,100.355,100.067,100,100.02,99.99,99.7,99.43,98.49
고등교육,104.461,101.48,100.355,100.067,100,100.02,99.99,99.7,99.43,98.49
전문대학납입금,105.03,101.659,100.257,100.029,100,100,100,100.07,100.08,99.77
국공립대학교납입금,109.938,102.508,100.532,100.164,100.01,99.84,99.52,98.66,98.43,97.67
사립대학교납입금,104.032,101.549,100.489,100.114,100,99.99,99.93,99.52,99.07,97.71
국공립대학원납입금,100.258,100.103,100.058,100.013,100.01,100.25,100.36,100.66,101.23,101.73
사립대학원납입금,97.851,97.918,98.411,99.365,100,100.49,100.99,101.54,101.99,102.45
10.4 기타교육,88.607,92.454,95.836,97.977,100,102.18,103.78,105.85,107.87,109.53
학원 및 보습교육,88.52,92.42,95.856,97.973,100,102.25,103.84,105.89,107.97,109.61
초등학생학원비,88.406,92.495,95.709,98.417,100,102.08,103.13,104.83,105.9,107.47
중학생학원비,86.383,91.049,95.205,97.073,100,101.87,102.88,104.71,106.59,108.73
고등학생학원비,84.749,89.861,94.526,97.431,100,102.94,105.22,107.55,109.54,111.28
음악학원비,88.515,93.028,96.193,98.058,100,103.09,106.31,109.5,111.39,114.06
미술학원비,88.275,92.325,95.031,97.621,100,102.85,105.21,107.44,109.95,112.19
운동학원비,87.818,90.286,92.857,96.585,100,103.29,106.35,110,113.41,116.11
전산학원비,84.689,88.822,94.445,97.473,100,101.48,101.69,103.2,104.59,107.26
가정학습지,98.624,99.618,101.305,101.157,100,101.61,101.66,102.06,105.12,105.12
이러닝이용료,95.631,97.367,98.934,98.934,100,101.74,101.74,101.74,110.31,91.45
학교보충교육비,98.7,98.902,98.925,99.738,100,100.03,102,103.47,104.53,104.84
성인학원 및 기타교육,89.744,92.897,95.549,97.993,100,101.23,102.8,105.15,106.38,108.3
취업학원비,88.593,92.151,95.456,97.397,100,99.85,102.3,106.13,105.06,108.26
외국어학원비,89.715,92.789,95.653,98.328,100,101.84,103.49,105.94,107.96,110.09
운동강습료,91.382,93.809,95.603,98.486,100,101.73,102.75,104.08,106.46,107.44
11 음식 및 숙박,93.731,94.855,96.326,97.722,100,102.51,104.97,108.14,110.1,111.15
11.1 음식 서비스,93.833,94.875,96.328,97.715,100,102.54,105.02,108.22,110.23,111.09
음식 서비스,93.833,94.875,96.328,97.715,100,102.54,105.02,108.22,110.23,111.09
김치찌개백반,92.327,94.398,96.42,98.604,100,101.28,103.73,106.76,110.32,112.21
된장찌개백반,92.089,94.946,96.887,98.573,100,101.37,103.54,106.98,110.8,112.27
비빔밥,91.815,94.337,96.701,98.131,100,101.54,103.29,106.91,110.44,111.27
설렁탕,91.887,93.979,95.401,97.063,100,101.78,105.14,109.81,112.77,114.25
갈비탕,88.617,90.338,93.152,95.933,100,104.04,108.67,115.2,118.67,121.74
삼계탕,91.869,94.364,96.104,97.979,100,101.28,103.3,106.34,109.02,109.74
해물찜,92.941,96.043,97.427,98.376,100,101.76,103.5,105.72,107,107.57
해장국,93.899,96.504,97.908,98.544,100,101.69,103.4,107.34,109.82,111.82
불고기,94.77,95.482,96.563,98.053,100,103.72,105.79,108.4,111.1,112.97
쇠고기(외식),95.256,96.54,97.186,98.662,100,104.08,106.45,109.77,112.25,115.23
돼지갈비(외식),93.091,94.847,95.61,97.481,100,102.14,104.56,108.52,110.92,111.79
삼겹살(외식),92.834,94.756,95.225,96.979,100,102.38,105.04,108.47,110.71,112.21
오리고기(외식),95.284,96.921,97.557,98.79,100,100.43,101.7,104.23,105.7,106.3
냉면,89.305,92.641,95.121,97.377,100,101.53,103.89,108.16,111.91,113.68
칼국수,92.824,94.915,97.24,98.832,100,101.96,104.33,108.33,111.32,113.37
죽(외식),96.136,98.454,98.454,98.454,100,102.18,102.18,106.64,114.08,115.16
생선초밥,95.051,96.047,97.918,98.987,100,102.25,103.64,105.71,108.14,109.12
생선회(외식),96.416,97.613,99.139,99.52,100,104.28,106.8,111.03,110.11,110.06
자장면,93.339,94.445,96.09,97.308,100,102.81,106.1,110.83,115.04,116.68
짬뽕,90.712,92.151,94.924,97.128,100,103.18,107.3,112.89,117.42,119.22
탕수육,92.829,94.826,96.404,97.911,100,101.91,104.25,107.51,110.58,111.82
볶음밥,92.908,94.174,96.172,97.872,100,102.96,106.66,111,114.39,116.39
돈가스,95.878,97.488,98.513,99.332,100,102.14,103.97,106.7,109.9,110.67
스테이크,92.242,94.976,97.057,98.22,100,102.7,104.66,106.52,109.08,111.34
스파게티,94.191,96.441,98.042,99.373,100,100.77,102.43,104.7,106.24,107.54
라면(외식),86.757,90.005,93.017,96.588,100,103.51,107.89,112.41,116.77,119
김밥,89.292,91.136,94.037,97.471,100,104.73,112.85,119.23,125.78,129.33
떡볶이,88.374,90.576,93.757,96.198,100,103.12,105.78,111.46,116.3,119.32
치킨,94.345,96.57,98.616,99.412,100,100.35,101.23,104.01,109.37,110.84
햄버거,99.626,100.195,95.488,97.1,100,100.23,101.35,105.71,108.25,106.93
피자,93.788,96.578,96.578,99.715,100,100,100,101.22,101.62,100.89
커피(외식),91.52,93.799,96.451,97.592,100,100.39,101.14,101.77,104.37,104.52
국산차(외식),96.53,97.797,98.499,99.299,100,99.93,100.16,100.18,100.32,100.76
소주(외식),91.926,91.997,94.69,96.46,100,111.73,117.56,120.43,121.72,122.57
맥주(외식),87.925,89.908,95.276,98.118,100,102.3,104.89,106.87,109.4,110.57
막걸리(외식),97.495,97.841,98.463,99.316,100,101.56,102.64,103.47,105.15,106.69
학교급식비,133.356,108.845,99.489,93.476,100,103.23,105.41,101.06,59.44,27.11
구내식당식사비,87.23,90.808,93.346,95.125,100,102.53,105.37,109.06,112.34,115.21
도시락,-,-,-,-,100,100,100,106.55,109.01,109.01
11.2 숙박 서비스,89.201,93.838,96.2,98.078,100,101.49,103.42,105.74,106.68,111.92
숙박 서비스,89.201,93.838,96.2,98.078,100,101.49,103.42,105.74,106.68,111.92
호텔숙박료,83.783,93.719,97.603,98.48,100,100.45,105.13,107.13,104.77,98.36
여관숙박료,94.781,97.098,98.337,99.244,100,100.04,100.11,99.82,99.97,98.56
콘도이용료,90.105,96.605,97.102,96.629,100,101.21,103.61,119.62,120.9,118.2
학교기숙사비,91.124,92.849,94.944,97.84,100,101.42,102.9,104.56,106.38,108.5
휴양시설이용료,-,-,-,-,100,102.98,102.98,102.98,105.96,125.6
12 기타 상품 및 서비스,97.236,94.059,94.495,97.409,100,103.44,106.31,106.94,108.65,110.78
12.1 미용용품 및 미용 서비스,89.572,92.372,94.711,98.085,100,100.2,99.78,100.42,101.62,102.81
이미용 및 미용시설,87.241,91.047,94.239,97.807,100,101.25,103.02,106.38,108.79,110.35
목욕료,86.155,90.458,93.949,98.095,100,101.5,104.16,108.52,111.87,114.55
찜질방이용료,87.943,91.105,94.206,96.447,100,101.23,103.94,107.42,110.96,112.23
이용료,93.229,95.456,96.932,98.589,100,101.15,101.67,103.94,105.52,106.7
미용료,85.865,89.995,93.545,97.799,100,101.24,102.76,106.02,108.33,109.79
뷰티미용료,93.689,96.397,97.863,99.191,100,101.1,102.69,105.83,107.14,108.57
개인용 전기용품 및 미용용품,91.588,93.453,95.093,98.311,100,99.26,96.9,95.36,95.58,96.48
면도기,88.559,91.45,92.92,93.509,100,106.71,108.64,108.47,105.77,101.74
헤어드라이어,84.367,88.243,89.993,94,100,104.46,104.54,96.07,89.5,82.76
칫솔,88.679,91.536,90.372,87.489,100,98.58,101.25,100.3,99.39,102.39
치약,89.549,88.536,84.456,94.339,100,102.27,94.65,96.43,98.32,103.33
비누,92.343,102.342,103.994,101.384,100,97.3,95.35,91.77,91.6,89.75
샴푸,106.049,108.192,101.268,101.247,100,91.67,78.03,79.54,83.49,81.63
바디워시,98.06,101.832,97.959,102.072,100,104.18,81.26,68.92,66.87,64.02
화장지,99.496,102.583,102.734,100.926,100,99.74,94.68,92.79,94.78,97.08
기초화장품,91.553,93.69,94.778,98.464,100,99.8,100.41,99.61,100.52,100.7
기능성화장품,79.158,78.085,89.676,99.378,100,98.7,97.76,96.29,94.9,97.48
색조화장품,90.677,94.347,94.35,96.965,100,100.25,103.16,102.87,105.48,105.44
모발염색약,107.621,108.472,103.924,92.942,100,100.11,88.97,84.98,84.26,87.25
구강세정제,92.748,95.517,97.987,99.552,100,97.08,94.31,91.57,95.18,98.8
12.3 기타 개인용품,80.935,83.507,88.087,92.876,100,102.31,104.47,105.7,107.95,108.49
기타 개인용품,80.935,83.507,88.087,92.876,100,102.31,104.47,105.7,107.95,108.49
손목시계,99.788,97.373,97.255,98.816,100,100.75,100.61,100.55,100.55,103.9
장신구,96.561,97.275,100,100.432,100,99.45,102.06,104.85,110.77,117.33
가방,66.596,71.846,81.04,86.969,100,104,105.08,106.7,110.62,110.89
핸드백,85.785,88.113,86.869,96.913,100,102.01,103.56,106.06,106.78,106.26
우산,92.926,96.384,98.636,99.573,100,99.67,99.03,99.17,99.04,98.5
유모차,107.744,103.262,100.782,99.618,100,103.72,111.39,112.69,110.52,105.78
지갑,-,-,-,-,100,97.49,101.49,98.15,99.77,99.58
12.4~7 기타서비스,122.657,104.387,97.742,98.438,100,108.98,117.29,117.63,120.04,124.45
기타서비스,122.657,104.387,97.742,98.438,100,108.98,117.29,117.63,120.04,124.45
산후조리원이용료,96.823,99.233,99.309,98.746,100,101.37,102.55,104.67,106.56,108.04
보육시설이용료,174.807,126.076,92.772,94.28,100,104.35,104.38,103.1,99.03,96.3
요양시설이용료,88.992,91.217,93.715,96.939,100,101.68,105.73,115.48,122.35,125.35
보험서비스료,-,-,-,-,100,123.54,147.61,147.62,152.58,164.67
자동차보험료,102.664,100.685,100,100,100,102.43,102.51,101.74,106.02,110.94
금융수수료,128.161,100,100,100,100,100,99.93,99.92,99.93,99.91
부동산중개수수료,101.941,101.941,101.941,101.941,100,98.68,98.68,98.68,98.68,98.68
행정수수료,96.089,96.484,100,100,100,100,100,100,100,100
대입전형료,106.74,104.719,102.339,100.449,100,98.69,98.75,86.33,85.92,86.02
시험응시료,87.789,91.816,92.454,97.546,100,102.75,104.1,104.56,106.43,110.02
장례비,94.838,96.82,97.558,98.286,100,102.36,104.4,105.24,106.24,106.85
